Train: epoch-1 (3600/7410)	batch_time 0.07		data_time 0.01		loss 0.949	prec@1 70.62	
Train: epoch-1 (3800/7410)	batch_time 0.07		data_time 0.01		loss 0.938	prec@1 71.16	
Train: epoch-1 (4000/7410)	batch_time 0.07		data_time 0.01		loss 0.890	prec@1 73.56	
Train: epoch-1 (4200/7410)	batch_time 0.07		data_time 0.01		loss 0.902	prec@1 72.84	
Train: epoch-1 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.948	prec@1 70.94	
Train: epoch-1 (4600/7410)	batch_time 0.07		data_time 0.01		loss 0.917	prec@1 71.91	
Train: epoch-1 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.973	prec@1 71.69	
Train: epoch-1 (5000/7410)	batch_time 0.07		data_time 0.01		loss 0.898	prec@1 73.12	
Train: epoch-1 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.928	prec@1 72.03	
Train: epoch-1 (5400/7410)	batch_time 0.07		data_time 0.01		loss 0.866	prec@1 73.25	
Train: epoch-1 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.930	prec@1 72.28	
Train: epoch-1 (5800/7410)	batch_time 0.07		data_time 0.01		loss 0.894	prec@1 72.75	
Train: epoch-1 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.896	prec@1 72.53	
Train: epoch-1 (6200/7410)	batch_time 0.07		data_time 0.01		loss 0.930	prec@1 71.81	
Train: epoch-1 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.915	prec@1 72.12	
Train: epoch-1 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.905	prec@1 73.25	
Train: epoch-1 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.931	prec@1 72.69	
Train: epoch-1 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.901	prec@1 72.88	
Train: epoch-1 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.877	prec@1 74.22	
Train: epoch-1 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.856	prec@1 73.69	
Validate: Prec@1 86.08  Loss 0.448
Best Prec@1: 86.08

Train: epoch-2 (200/7410)	batch_time 0.17		data_time 0.11		loss 0.886	prec@1 73.62	
Train: epoch-2 (400/7410)	batch_time 0.07		data_time 0.01		loss 0.920	prec@1 71.97	
Train: epoch-2 (600/7410)	batch_time 0.07		data_time 0.01		loss 0.904	prec@1 73.03	
Train: epoch-2 (800/7410)	batch_time 0.07		data_time 0.01		loss 0.857	prec@1 74.00	
Train: epoch-2 (1000/7410)	batch_time 0.07		data_time 0.01		loss 0.901	prec@1 73.56	
Train: epoch-2 (1200/7410)	batch_time 0.07		data_time 0.01		loss 0.878	prec@1 73.62	
Train: epoch-2 (1400/7410)	batch_time 0.07		data_time 0.01		loss 0.879	prec@1 73.84	
Train: epoch-2 (1600/7410)	batch_time 0.07		data_time 0.01		loss 0.847	prec@1 74.12	
Train: epoch-2 (1800/7410)	batch_time 0.07		data_time 0.01		loss 0.797	prec@1 76.16	
Train: epoch-2 (2000/7410)	batch_time 0.07		data_time 0.01		loss 0.822	prec@1 75.56	
